Category,Campus,OrganizationId,OrganizationName,OrganizationType,ScheduleLinks,ReportedOnLatestSunday,LatestSundayMeetingPresent
Children,RockPointe Church - Parker Square,4104,CM: PS 8:30 Kindergarten,Bible Study/Class,Day 0 at 08:30:00,Yes,5
Children,RockPointe Church - Parker Square,4103,CM: PS 8:30 PreK,Bible Study/Class,Day 0 at 08:30:00,Yes,1
Children,RockPointe Church - Parker Square,3502,CM: PS 8:30 Toddlers (Walking-24 mo),Bible Study/Class,Day 0 at 08:30:00,Yes,2
Children,RockPointe Church - Parker Square,1598,CM: PS 9:45 1st Grade,Bible Study/Class,Day 0 at 09:45:00,Yes,13
Children,RockPointe Church - Parker Square,1586,CM: PS 9:45 2 Years,Bible Study/Class,Day 0 at 09:45:00,Yes,9
Children,RockPointe Church - Parker Square,1600,CM: PS 9:45 2nd Grade,Bible Study/Class,Day 0 at 09:45:00,Yes,4
Children,RockPointe Church - Parker Square,1587,CM: PS 9:45 3 Years,Bible Study/Class,Day 0 at 09:45:00,Yes,13
Children,RockPointe Church - Parker Square,1803,CM: PS 9:45 3rd Grade Boys,Bible Study/Class,Day 0 at 09:45:00,Yes,10
Children,RockPointe Church - Parker Square,1804,CM: PS 9:45 3rd Grade Girls,Bible Study/Class,Day 0 at 09:45:00,Yes,5
Children,RockPointe Church - Parker Square,1604,CM: PS 9:45 4th Grade Boys,Bible Study/Class,Day 0 at 09:45:00,Yes,7
Children,RockPointe Church - Parker Square,1606,CM: PS 9:45 4th Grade Girls,Bible Study/Class,Day 0 at 09:45:00,Yes,4
Children,RockPointe Church - Parker Square,1609,CM: PS 9:45 5th Grade Boys,Bible Study/Class,Day 0 at 09:45:00,Yes,6
Children,RockPointe Church - Parker Square,1610,CM: PS 9:45 5th Grade Girls,Bible Study/Class,Day 0 at 09:45:00,Yes,10
Children,RockPointe Church - Parker Square,1585,CM: PS 9:45 Infants (Birth-Crawling),Bible Study/Class,Day 0 at 09:45:00,Yes,4
Children,RockPointe Church - Parker Square,1596,CM: PS 9:45 Kindergarten,Bible Study/Class,Day 0 at 09:45:00,Yes,23
Children,RockPointe Church - Parker Square,1588,CM: PS 9:45 PreK,Bible Study/Class,Day 0 at 09:45:00,Yes,3
Children,RockPointe Church - Parker Square,1822,CM: PS 9:45 Special Needs Kids,Bible Study/Class,Day 0 at 09:45:00,Yes,5
Children,RockPointe Church - Parker Square,1593,CM: PS 9:45 Toddlers (Walking-24 mo),Bible Study/Class,Day 0 at 09:45:00,Yes,3
Volunteer,RockPointe Church - Central,2429,CM: CC 10:45 AM Volunteers Special Needs,Volunteers,Day 0 at 10:45:00; Day 6 at 17:00:00,Yes,18
Volunteer,RockPointe Church - Central,4017,CM: CC 10:45 Volunteers Elementary 2026-2027,Volunteers,Day 0 at 10:45:00,Yes,22
Volunteer,RockPointe Church - Central,4027,CM: CC 10:45 Volunteers Welcome Team 2026-2027,Volunteers,Day 0 at 10:45:00,No,0
Volunteer,RockPointe Church - Central,4016,CM: CC 9:00 Volunteers Elementary 2026-2027,Volunteers,Day 0 at 09:00:00,Yes,45
Volunteer,RockPointe Church - Central,4026,CM: CC 9:00 Volunteers Welcome Team 2026-2027,Volunteers,Day 0 at 09:00:00,No,0
Volunteer,RockPointe Church - Central,1885,CM: CC 9:00 a Volunteers Special Needs,Volunteers,Day 0 at 09:00:00,Yes,30
Volunteer,RockPointe Church - Parker Square,4025,CM: PS 11:15 Volunteers Elementary 2026-2027,Volunteers,Day 0 at 11:15:00,Yes,9
Volunteer,RockPointe Church - Parker Square,4024,CM: PS 11:15 Volunteers Nursery/Kinder 2026-2027,Volunteers,Day 0 at 11:15:00,Yes,11
Volunteer,RockPointe Church - Parker Square,2430,CM: PS 11:15 Volunteers Special Needs,Volunteers,Day 0 at 11:15:00,Yes,13
Volunteer,RockPointe Church - Parker Square,4021,CM: PS 8:30 Volunteers Elementary 2026-2027,Volunteers,Day 0 at 08:30:00,No,
Volunteer,RockPointe Church - Parker Square,4020,CM: PS 8:30 Volunteers Nursery/Kinder 2026-2027,Volunteers,Day 0 at 08:30:00,Yes,1
Volunteer,RockPointe Church - Parker Square,4023,CM: PS 9:45 Volunteers Elementary 2026-2027,Volunteers,Day 0 at 09:45:00,Yes,14
Volunteer,RockPointe Church - Parker Square,4022,CM: PS 9:45 Volunteers Nursery/Kinder 2026-2027,Volunteers,Day 0 at 09:45:00,Yes,20
Volunteer,RockPointe Church - Parker Square,1060,CM: PS 9:45 Volunteers Special Needs,Volunteers,Day 0 at 09:45:00,Yes,7
Volunteer,RockPointe Church - Parker Square,4028,CM: PS Volunteers Welcome Team 2026-2027,Volunteers,Day 0 at 08:30:00; Day 0 at 09:45:00; Day 0 at 11:15:00,Yes,2
