"Section","QueryId","SchemaName","TableName","ColumnName","OrdinalPosition","DataType","MaxLength","NumericPrecision","NumericScale","DateTimePrecision","Nullable","ObjectType","ApproxRowCount","ConstraintName","ConstraintType","KeyOrdinal","ReferencedSchema","ReferencedTable","ReferencedColumn","IndexName","IsUnique","IsPrimaryKey","Finding","Error"
"TableInventory","Q02","dbo","ConversationMessageReports","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ConversationMessages","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","ConversationReactions","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Conversations","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Coupons","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CreditGiver","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CustomColumns","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CustomMenuRoles","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","CustomScriptRoles","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","DashboardWidgetRoles","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","DashboardWidgets","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","DeleteMeetingRun","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","DepositDateTotals","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","DirectoryPrivacySettings","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Division","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","DivOrg","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","DonorProfileList","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Downline","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
